"id","title","city","neighbourhood","intent","price","bedrooms","bathrooms","size_sqm","property_type","distance_from_city_km","description"
106,"Family House in Mitte","Berlin","Mitte","buy",580000,3,2,131,"house",16.00,"Situated in Mitte, Berlin, this attractive house offers 3 bedrooms and approximately 131 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
107,"Family Home in Potsdam","Berlin","Potsdam","buy",669250,4,3,111,"house",4.10,"Situated in Potsdam, Berlin, this attractive house offers 4 bedrooms and approximately 111 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
108,"Detached Four Bedroom House in Mitte","Berlin","Mitte","buy",462250,4,3,151,"house",31.70,"Situated in Mitte, Berlin, this attractive house offers 4 bedrooms and approximately 151 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
109,"Modern Family Residence in Charlottenburg","Berlin","Charlottenburg","buy",695500,4,3,239,"house",0.60,"Situated in Charlottenburg, Berlin, this attractive house offers 4 bedrooms and approximately 239 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
110,"Four Bedroom House in Charlottenburg","Berlin","Charlottenburg","buy",444250,4,3,156,"house",34.10,"Situated in Charlottenburg, Berlin, this attractive house offers 4 bedrooms and approximately 156 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
111,"Bright Two Bedroom Apartment in Neukolln","Berlin","Neukolln","buy",411750,2,1,76,"apartment",8.50,"Located in Neukolln, Berlin, this well-presented apartment offers 2 bedroom(s) and approximately 76 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
112,"Contemporary One Bedroom Apartment in Kreuzberg","Berlin","Kreuzberg","buy",390600,1,1,67,"apartment",13.20,"Located in Kreuzberg, Berlin, this well-presented apartment offers 1 bedroom(s) and approximately 67 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
113,"Renovated One Bedroom Apartment in Neukolln","Berlin","Neukolln","buy",433800,1,1,45,"apartment",3.60,"Located in Neukolln, Berlin, this well-presented apartment offers 1 bedroom(s) and approximately 45 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
114,"Well Presented Two Bedroom Apartment in Prenzlauer Berg","Berlin","Prenzlauer Berg","buy",387450,2,1,50,"apartment",13.90,"Located in Prenzlauer Berg, Berlin, this well-presented apartment offers 2 bedroom(s) and approximately 50 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
115,"Modern Two Bedroom Apartment in Potsdam","Berlin","Potsdam","buy",430200,2,1,96,"apartment",4.40,"Located in Potsdam, Berlin, this well-presented apartment offers 2 bedroom(s) and approximately 96 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
116,"Spacious Four Bedroom Residence in Mitte","Berlin","Mitte","buy",2281333,4,3,246,"house",8.20,"Situated in Mitte, Berlin, this attractive house offers 4 bedrooms and approximately 246 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
117,"Premium Five Bedroom Home in Kreuzberg","Berlin","Kreuzberg","buy",2140000,5,4,126,"house",13.50,"Situated in Kreuzberg, Berlin, this attractive house offers 5 bedrooms and approximately 126 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
118,"Detached Four Bedroom House in Neukolln","Berlin","Neukolln","buy",1460000,4,3,296,"house",39.20,"Situated in Neukolln, Berlin, this attractive house offers 4 bedrooms and approximately 296 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
119,"Detached Three Bedroom House in Prenzlauer Berg","Berlin","Prenzlauer Berg","buy",2012000,3,2,249,"house",18.30,"Situated in Prenzlauer Berg, Berlin, this attractive house offers 3 bedrooms and approximately 249 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
120,"Five Bedroom Detached House in Kreuzberg","Berlin","Kreuzberg","buy",2465333,5,4,336,"house",1.30,"Situated in Kreuzberg, Berlin, this attractive house offers 5 bedrooms and approximately 336 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
121,"Bright One Bedroom Apartment in Oost","Amsterdam","Oost","rent",1154,1,1,44,"apartment",4.60,"Located in Oost, Amsterdam, this well-presented apartment offers 1 bedroom(s) and approximately 44 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
122,"Contemporary Two Bedroom Apartment in De Pijp","Amsterdam","De Pijp","rent",1180,2,1,28,"apartment",2.00,"Located in De Pijp, Amsterdam, this well-presented apartment offers 2 bedroom(s) and approximately 28 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
123,"Spacious Two Bedroom Apartment in Jordaan","Amsterdam","Jordaan","rent",1117,2,1,34,"apartment",8.30,"Located in Jordaan, Amsterdam, this well-presented apartment offers 2 bedroom(s) and approximately 34 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
124,"Well Presented Two Bedroom Apartment in Oost","Amsterdam","Oost","rent",1076,2,1,26,"apartment",12.40,"Located in Oost, Amsterdam, this well-presented apartment offers 2 bedroom(s) and approximately 26 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
125,"Modern Two Bedroom Apartment in De Pijp","Amsterdam","De Pijp","rent",1006,2,1,45,"apartment",19.40,"Located in De Pijp, Amsterdam, this well-presented apartment offers 2 bedroom(s) and approximately 45 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
126,"Bright One Bedroom Apartment in Oost","Amsterdam","Oost","rent",1142,1,1,48,"apartment",5.80,"Located in Oost, Amsterdam, this well-presented apartment offers 1 bedroom(s) and approximately 48 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
127,"Contemporary Two Bedroom Apartment in Jordaan","Amsterdam","Jordaan","rent",1186,2,1,37,"apartment",1.40,"Located in Jordaan, Amsterdam, this well-presented apartment offers 2 bedroom(s) and approximately 37 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
128,"Renovated One Bedroom Apartment in Jordaan","Amsterdam","Jordaan","rent",979,1,1,36,"apartment",22.10,"Located in Jordaan, Amsterdam, this well-presented apartment offers 1 bedroom(s) and approximately 36 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
129,"Stylish One Bedroom Apartment in Oost","Amsterdam","Oost","rent",2616,1,1,88,"apartment",6.90,"Located in Oost, Amsterdam, this well-presented apartment offers 1 bedroom(s) and approximately 88 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
130,"Modern One Bedroom Apartment in Amstelveen","Amsterdam","Amstelveen","rent",2410,1,1,87,"apartment",14.60,"Located in Amstelveen, Amsterdam, this well-presented apartment offers 1 bedroom(s) and approximately 87 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
131,"Bright One Bedroom Apartment in De Pijp","Amsterdam","De Pijp","rent",2514,1,1,85,"apartment",10.70,"Located in De Pijp, Amsterdam, this well-presented apartment offers 1 bedroom(s) and approximately 85 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
132,"Contemporary Two Bedroom Apartment in De Pijp","Amsterdam","De Pijp","rent",1760,2,1,63,"apartment",45.20,"Located in De Pijp, Amsterdam, this well-presented apartment offers 2 bedroom(s) and approximately 63 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
133,"Renovated One Bedroom Apartment in Noord","Amsterdam","Noord","rent",2568,1,1,59,"apartment",8.70,"Located in Noord, Amsterdam, this well-presented apartment offers 1 bedroom(s) and approximately 59 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
134,"Well Presented Two Bedroom Apartment in Amstelveen","Amsterdam","Amstelveen","rent",2376,2,1,65,"apartment",15.90,"Located in Amstelveen, Amsterdam, this well-presented apartment offers 2 bedroom(s) and approximately 65 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
135,"Modern Two Bedroom Apartment in De Pijp","Amsterdam","De Pijp","rent",2741,2,1,68,"apartment",2.20,"Located in De Pijp, Amsterdam, this well-presented apartment offers 2 bedroom(s) and approximately 68 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
136,"Bright Two Bedroom Apartment in De Pijp","Amsterdam","De Pijp","rent",2618,2,1,77,"apartment",6.80,"Located in De Pijp, Amsterdam, this well-presented apartment offers 2 bedroom(s) and approximately 77 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
137,"Contemporary One Bedroom Apartment in Haarlem","Amsterdam","Haarlem","rent",2464,1,1,74,"apartment",12.60,"Located in Haarlem, Amsterdam, this well-presented apartment offers 1 bedroom(s) and approximately 74 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
138,"Renovated One Bedroom Apartment in Oost","Amsterdam","Oost","rent",2496,1,1,57,"apartment",11.40,"Located in Oost, Amsterdam, this well-presented apartment offers 1 bedroom(s) and approximately 57 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
139,"Detached Three Bedroom House in Oost","Amsterdam","Oost","buy",452500,3,2,229,"house",33.00,"Situated in Oost, Amsterdam, this attractive house offers 3 bedrooms and approximately 229 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
140,"Three Bedroom House in De Pijp","Amsterdam","De Pijp","buy",522250,3,2,145,"house",23.70,"Situated in De Pijp, Amsterdam, this attractive house offers 3 bedrooms and approximately 145 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
141,"Spacious Four Bedroom Residence in De Pijp","Amsterdam","De Pijp","buy",440500,4,2,167,"house",34.60,"Situated in De Pijp, Amsterdam, this attractive house offers 4 bedrooms and approximately 167 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
142,"Family Home in De Pijp","Amsterdam","De Pijp","buy",668500,4,3,146,"house",4.20,"Situated in De Pijp, Amsterdam, this attractive house offers 4 bedrooms and approximately 146 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
143,"Spacious Three Bedroom Home in Amstelveen","Amsterdam","Amstelveen","buy",573250,3,2,196,"house",16.90,"Situated in Amstelveen, Amsterdam, this attractive house offers 3 bedrooms and approximately 196 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
144,"Detached Three Bedroom House in Noord","Amsterdam","Noord","buy",651250,3,2,232,"house",6.50,"Situated in Noord, Amsterdam, this attractive house offers 3 bedrooms and approximately 232 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
145,"Five Bedroom Detached House in Amstelveen","Amsterdam","Amstelveen","buy",407500,5,4,144,"house",48.90,"Situated in Amstelveen, Amsterdam, this attractive house offers 5 bedrooms and approximately 144 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
146,"Executive Family Residence in Amstelveen","Amsterdam","Amstelveen","buy",654250,5,4,133,"house",6.10,"Situated in Amstelveen, Amsterdam, this attractive house offers 5 bedrooms and approximately 133 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
147,"Family Home in Noord","Amsterdam","Noord","buy",583750,4,3,134,"house",15.50,"Situated in Noord, Amsterdam, this attractive house offers 4 bedrooms and approximately 134 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
148,"Spacious Three Bedroom Home in Amstelveen","Amsterdam","Amstelveen","buy",676000,3,2,125,"house",3.20,"Situated in Amstelveen, Amsterdam, this attractive house offers 3 bedrooms and approximately 125 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
149,"Modern Family Residence in Oost","Amsterdam","Oost","buy",541750,4,3,178,"house",21.10,"Situated in Oost, Amsterdam, this attractive house offers 4 bedrooms and approximately 178 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
150,"Four Bedroom House in Noord","Amsterdam","Noord","buy",603250,4,3,183,"house",12.90,"Situated in Noord, Amsterdam, this attractive house offers 4 bedrooms and approximately 183 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
151,"Bright One Bedroom Apartment in Oost","Amsterdam","Oost","buy",441000,1,1,56,"apartment",2.00,"Located in Oost, Amsterdam, this well-presented apartment offers 1 bedroom(s) and approximately 56 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
152,"Contemporary Two Bedroom Apartment in Oost","Amsterdam","Oost","buy",439650,2,1,48,"apartment",2.30,"Located in Oost, Amsterdam, this well-presented apartment offers 2 bedroom(s) and approximately 48 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
153,"Spacious Three Bedroom Home in De Pijp","Amsterdam","De Pijp","buy",431550,3,2,86,"house",4.10,"Situated in De Pijp, Amsterdam, this attractive house offers 3 bedrooms and approximately 86 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
154,"Stylish One Bedroom Apartment in De Pijp","Amsterdam","De Pijp","buy",406800,1,1,48,"apartment",9.60,"Located in De Pijp, Amsterdam, this well-presented apartment offers 1 bedroom(s) and approximately 48 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
155,"Three Bedroom House in Haarlem","Amsterdam","Haarlem","buy",328050,3,2,86,"house",27.10,"Situated in Haarlem, Amsterdam, this attractive house offers 3 bedrooms and approximately 86 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
156,"Spacious Four Bedroom Residence in Noord","Amsterdam","Noord","buy",2329333,4,3,348,"house",6.40,"Situated in Noord, Amsterdam, this attractive house offers 4 bedrooms and approximately 348 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
157,"Family Home in Haarlem","Amsterdam","Haarlem","buy",1460000,4,3,265,"house",40.00,"Situated in Haarlem, Amsterdam, this attractive house offers 4 bedrooms and approximately 265 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
158,"Detached Four Bedroom House in Noord","Amsterdam","Noord","buy",2348000,4,3,131,"house",5.70,"Situated in Noord, Amsterdam, this attractive house offers 4 bedrooms and approximately 131 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
159,"Modern Family Residence in Amstelveen","Amsterdam","Amstelveen","buy",1460000,4,3,397,"house",39.10,"Situated in Amstelveen, Amsterdam, this attractive house offers 4 bedrooms and approximately 397 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
160,"Modern Two Bedroom Apartment in Jordaan","Amsterdam","Jordaan","buy",2422666,2,1,326,"apartment",2.90,"Located in Jordaan, Amsterdam, this well-presented apartment offers 2 bedroom(s) and approximately 326 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
161,"Bright One Bedroom Apartment in EUR","Rome","EUR","rent",1004,1,1,48,"apartment",19.60,"Located in EUR, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 48 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
162,"Contemporary One Bedroom Apartment in Prati","Rome","Prati","rent",1187,1,1,43,"apartment",1.30,"Located in Prati, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 43 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
163,"Spacious Two Bedroom Apartment in Prati","Rome","Prati","rent",1182,2,1,55,"apartment",1.80,"Located in Prati, Rome, this well-presented apartment offers 2 bedroom(s) and approximately 55 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
164,"Well Presented Two Bedroom Apartment in Trastevere","Rome","Trastevere","rent",1131,2,1,26,"apartment",6.90,"Located in Trastevere, Rome, this well-presented apartment offers 2 bedroom(s) and approximately 26 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
165,"Modern One Bedroom Apartment in Tivoli","Rome","Tivoli","rent",1132,1,1,57,"apartment",6.80,"Located in Tivoli, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 57 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
166,"Bright One Bedroom Apartment in Prati","Rome","Prati","rent",810,1,1,36,"apartment",44.60,"Located in Prati, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 36 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
167,"Contemporary One Bedroom Apartment in Frascati","Rome","Frascati","rent",1185,1,1,26,"apartment",1.50,"Located in Frascati, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 26 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
168,"Renovated One Bedroom Apartment in Prati","Rome","Prati","rent",1178,1,1,48,"apartment",2.20,"Located in Prati, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 48 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
169,"Stylish One Bedroom Apartment in Testaccio","Rome","Testaccio","rent",2712,1,1,67,"apartment",3.30,"Located in Testaccio, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 67 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
170,"Modern One Bedroom Apartment in Testaccio","Rome","Testaccio","rent",2725,1,1,63,"apartment",2.80,"Located in Testaccio, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 63 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
171,"Bright Two Bedroom Apartment in Tivoli","Rome","Tivoli","rent",2549,2,1,56,"apartment",9.40,"Located in Tivoli, Rome, this well-presented apartment offers 2 bedroom(s) and approximately 56 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
172,"Contemporary One Bedroom Apartment in EUR","Rome","EUR","rent",2517,1,1,51,"apartment",10.60,"Located in EUR, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 51 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
173,"Renovated One Bedroom Apartment in EUR","Rome","EUR","rent",2122,1,1,90,"apartment",25.40,"Located in EUR, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 90 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
174,"Stylish One Bedroom Apartment in Frascati","Rome","Frascati","rent",2392,1,1,80,"apartment",15.30,"Located in Frascati, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 80 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
175,"Modern One Bedroom Apartment in Frascati","Rome","Frascati","rent",2730,1,1,82,"apartment",2.60,"Located in Frascati, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 82 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
176,"Bright Two Bedroom Apartment in Tivoli","Rome","Tivoli","rent",2517,2,1,82,"apartment",10.60,"Located in Tivoli, Rome, this well-presented apartment offers 2 bedroom(s) and approximately 82 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
177,"Contemporary One Bedroom Apartment in Trastevere","Rome","Trastevere","rent",1760,1,1,76,"apartment",48.50,"Located in Trastevere, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 76 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
178,"Renovated One Bedroom Apartment in Trastevere","Rome","Trastevere","rent",2581,1,1,65,"apartment",8.20,"Located in Trastevere, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 65 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
179,"Detached Three Bedroom House in Tivoli","Rome","Tivoli","buy",580000,3,2,170,"house",16.00,"Situated in Tivoli, Rome, this attractive house offers 3 bedrooms and approximately 170 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
180,"Four Bedroom House in Prati","Rome","Prati","buy",475000,4,4,191,"house",30.00,"Situated in Prati, Rome, this attractive house offers 4 bedrooms and approximately 191 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
181,"Spacious Four Bedroom Residence in Tivoli","Rome","Tivoli","buy",440500,4,2,154,"house",34.60,"Situated in Tivoli, Rome, this attractive house offers 4 bedrooms and approximately 154 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
182,"Modern Three Bedroom Residence in Frascati","Rome","Frascati","buy",473500,3,2,125,"house",30.20,"Situated in Frascati, Rome, this attractive house offers 3 bedrooms and approximately 125 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
183,"Luxury Detached Residence in Frascati","Rome","Frascati","buy",650500,5,4,197,"house",6.60,"Situated in Frascati, Rome, this attractive house offers 5 bedrooms and approximately 197 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
184,"Modern Family Residence in Frascati","Rome","Frascati","buy",499750,4,3,152,"house",26.70,"Situated in Frascati, Rome, this attractive house offers 4 bedrooms and approximately 152 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
185,"Four Bedroom House in Testaccio","Rome","Testaccio","buy",611500,4,2,185,"house",11.80,"Situated in Testaccio, Rome, this attractive house offers 4 bedrooms and approximately 185 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
186,"Family House in Testaccio","Rome","Testaccio","buy",631750,3,2,237,"house",9.10,"Situated in Testaccio, Rome, this attractive house offers 3 bedrooms and approximately 237 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
187,"Family Home in Tivoli","Rome","Tivoli","buy",669250,4,2,179,"house",4.10,"Situated in Tivoli, Rome, this attractive house offers 4 bedrooms and approximately 179 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
188,"Detached Four Bedroom House in Testaccio","Rome","Testaccio","buy",573250,4,3,196,"house",16.90,"Situated in Testaccio, Rome, this attractive house offers 4 bedrooms and approximately 196 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
189,"Spacious Five Bedroom House in Prati","Rome","Prati","buy",430000,5,4,160,"house",36.00,"Situated in Prati, Rome, this attractive house offers 5 bedrooms and approximately 160 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
190,"Three Bedroom House in EUR","Rome","EUR","buy",580000,3,2,243,"house",16.00,"Situated in EUR, Rome, this attractive house offers 3 bedrooms and approximately 243 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
191,"Bright Two Bedroom Apartment in Prati","Rome","Prati","buy",416700,2,1,52,"apartment",7.40,"Located in Prati, Rome, this well-presented apartment offers 2 bedroom(s) and approximately 52 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
192,"Contemporary One Bedroom Apartment in Tivoli","Rome","Tivoli","buy",385650,1,1,61,"apartment",14.30,"Located in Tivoli, Rome, this well-presented apartment offers 1 bedroom(s) and approximately 61 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
193,"Spacious Three Bedroom Home in Trastevere","Rome","Trastevere","buy",342000,3,2,72,"house",24.00,"Situated in Trastevere, Rome, this attractive house offers 3 bedrooms and approximately 72 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
194,"Well Presented Two Bedroom Apartment in Testaccio","Rome","Testaccio","buy",446400,2,1,68,"apartment",0.80,"Located in Testaccio, Rome, this well-presented apartment offers 2 bedroom(s) and approximately 68 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
195,"Three Bedroom House in Prati","Rome","Prati","buy",422100,3,2,43,"house",6.20,"Situated in Prati, Rome, this attractive house offers 3 bedrooms and approximately 43 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
196,"Spacious Four Bedroom Residence in EUR","Rome","EUR","buy",2460000,4,3,391,"house",1.50,"Situated in EUR, Rome, this attractive house offers 4 bedrooms and approximately 391 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
197,"Modern Three Bedroom Residence in Trastevere","Rome","Trastevere","buy",2270666,3,2,237,"house",8.60,"Situated in Trastevere, Rome, this attractive house offers 3 bedrooms and approximately 237 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
198,"Luxury Detached Residence in Testaccio","Rome","Testaccio","buy",2358666,5,4,285,"house",5.30,"Situated in Testaccio, Rome, this attractive house offers 5 bedrooms and approximately 285 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
199,"Spacious Five Bedroom House in Tivoli","Rome","Tivoli","buy",2158666,5,4,251,"house",12.80,"Situated in Tivoli, Rome, this attractive house offers 5 bedrooms and approximately 251 sqm of accommodation. The property offers generous living space together with convenient access to local services, schools, parks and transport links."
200,"Modern Two Bedroom Apartment in Trastevere","Rome","Trastevere","buy",1854666,2,1,170,"apartment",24.20,"Located in Trastevere, Rome, this well-presented apartment offers 2 bedroom(s) and approximately 170 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
